Entity,Code,Year,"GHG emissions per kilogram (Poore & Nemecek, 2018)"
Beef (beef herd),,2010,99.48
Dark Chocolate,,2010,46.65
Lamb & Mutton,,2010,39.72
Beef (dairy herd),,2010,33.3
Coffee,,2010,28.53
Prawns (farmed),,2010,26.87
Cheese,,2010,23.88
Fish (farmed),,2010,13.63
Pig Meat,,2010,12.31
Poultry Meat,,2010,9.87
Eggs,,2010,4.67
Rice,,2010,4.45
Groundnuts,,2010,3.23
Cane Sugar,,2010,3.2
Tofu,,2010,3.16
Milk,,2010,3.15
Oatmeal,,2010,2.48
Tomatoes,,2010,2.09
Beet Sugar,,2010,1.81
Other Pulses,,2010,1.79
Wine,,2010,1.79
Maize,,2010,1.7
Wheat & Rye,,2010,1.57
Berries & Grapes,,2010,1.53
Cassava,,2010,1.32
Barley,,2010,1.18
Other Fruit,,2010,1.05
Peas,,2010,0.98
Soy milk,,2010,0.98
Bananas,,2010,0.86
Other Vegetables,,2010,0.53
Brassicas,,2010,0.51
Onions & Leeks,,2010,0.5
Potatoes,,2010,0.46
Apples,,2010,0.43
Nuts,,2010,0.43
Root Vegetables,,2010,0.43
Citrus Fruit,,2010,0.39